1 1
2 10 2 3
2 10 2 3
6 8 2 0
6 8 2 0
4 2 1 0
5 2 1 0
5 5 1 1
6 5 1 0
6 2 2 0
4 3 2 0
5 3 2 3
2 2 3 0
3 9 3 0
5 4 3 0
4 6 2 1
4 9 5 1
1 6 1 0
3 3 7 2
3 7 2 0
3 8 7 1
2 8 3 0
1 6 5 1
0 4 2 2
0 6 6 0
6 1 4 1
5 6 7 0
2 1 9 0
6 10 7 0
5 5 5 0
3 7 8 1
3 9 7 0
4 1 7 0
1 6 8 2
2 5 6 1
0 3 9 0
1 9 7 2
6 2 9 1
0 2 8 3
3 10 8 3
6 10 9 0
2 10 8 0
5 3 8 1
5 1 13 0
2 4 9 1
4 7 8 0
4 3 9 0
4 5 7 3
0 6 10 2
1 7 9 0
5 2 11 1
0 10 12 0
4 7 10 1
2 4 10 3
2 5 10 0
4 2 11 1
6 6 11 0
6 4 13 0
1 9 11 0
5 5 12 1
3 8 12 0
1 2 14 1
3 1 13 0
